Team,Gameweek,Points,Total Points
Tommy D FC,17,31,776
Tosin Salad,17,41,665
4 better or 4 Wirtz,18,45,732
All the way to May,18,36,738
Clearlake Rimet,18,39,696
Cooroibah Stars,18,44,709
Give it teh giggsehh,18,52,720
Morton,18,70,779
Muzzadona's Mincers,18,33,630
Nantes FC,18,26,686
PeerPressuredFC,18,20,700
Tommy D FC,18,40,816
Tosin Salad,18,28,693
4 better or 4 Wirtz,19,53,785
All the way to May,19,29,767
Clearlake Rimet,19,23,719
Cooroibah Stars,19,44,753
Give it teh giggsehh,19,44,764
Morton,19,51,830
Muzzadona's Mincers,19,22,652
Nantes FC,19,33,719
PeerPressuredFC,19,43,743
Tommy D FC,19,57,873
Tosin Salad,19,39,732
4 better or 4 Wirtz,20,48,833
All the way to May,20,21,788
Clearlake Rimet,20,48,767
Cooroibah Stars,20,26,779
Give it teh giggsehh,20,53,817
Morton,20,40,870
Muzzadona's Mincers,20,29,681
Nantes FC,20,41,760
PeerPressuredFC,20,36,779
Tommy D FC,20,41,914
Tosin Salad,20,27,759
4 better or 4 Wirtz,21,39,872
All the way to May,21,56,844
Clearlake Rimet,21,27,794
Cooroibah Stars,21,27,806
Give it teh giggsehh,21,42,859
Morton,21,30,900
Muzzadona's Mincers,21,45,726
Nantes FC,21,45,805
PeerPressuredFC,21,59,838
Tommy D FC,21,50,964
Tosin Salad,21,30,789
4 better or 4 Wirtz,22,32,904
All the way to May,22,47,891
Clearlake Rimet,22,29,823
Cooroibah Stars,22,47,853
Give it teh giggsehh,22,42,901
Morton,22,24,924
Muzzadona's Mincers,22,26,752
Nantes FC,22,49,854
PeerPressuredFC,22,26,864
Tommy D FC,22,33,997
Tosin Salad,22,42,831
4 better or 4 Wirtz,23,36,940
All the way to May,23,46,937
Clearlake Rimet,23,50,873
Cooroibah Stars,23,51,904
Give it teh giggsehh,23,42,943
Morton,23,43,967
Muzzadona's Mincers,23,39,791
Nantes FC,23,22,876
PeerPressuredFC,23,47,911
Tommy D FC,23,29,1026
Tosin Salad,23,26,857
4 better or 4 Wirtz,24,40,980
All the way to May,24,56,993
Clearlake Rimet,24,37,910
Cooroibah Stars,24,59,963
Give it teh giggsehh,24,38,981
Morton,24,26,993
Muzzadona's Mincers,24,56,847
Nantes FC,24,35,911
PeerPressuredFC,24,22,933
Tommy D FC,24,46,1072
Tosin Salad,24,45,902
4 better or 4 Wirtz,25,51,1031
All the way to May,25,36,1029
Clearlake Rimet,25,58,968
Cooroibah Stars,25,25,988
Give it teh giggsehh,25,53,1034
Morton,25,30,1023
Muzzadona's Mincers,25,31,878
Nantes FC,25,47,958
PeerPressuredFC,25,34,967
Tommy D FC,25,43,1115
Tosin Salad,25,34,936
4 better or 4 Wirtz,26,45,1076
All the way to May,26,42,1071
Clearlake Rimet,26,64,1032
Cooroibah Stars,26,34,1022
Give it teh giggsehh,26,29,1063
Morton,26,23,1046
Muzzadona's Mincers,26,38,916
Nantes FC,26,46,1004
PeerPressuredFC,26,23,990
Tommy D FC,26,62,1177
Tosin Salad,26,49,985
4 better or 4 Wirtz,27,39,1115
All the way to May,27,41,1112
Clearlake Rimet,27,65,1097
Cooroibah Stars,27,27,1049
Give it teh giggsehh,27,55,1118
Morton,27,23,1069
Muzzadona's Mincers,27,44,960
Nantes FC,27,46,1050
PeerPressuredFC,27,69,1059
Tommy D FC,27,40,1217
Tosin Salad,27,29,1014
